LCSC,rotation,evidence,polarity
C2286,0,"Indicator LED 0603 (POLARIZED); pluto-rx2-8way-v2 LED_ST. Measured 2026-07-30 BY HAND from the raw .kicad_mod text of both lands -- own parser, own operator, no pcbnew and no import of jlc_rotation_measure.py, which WITHHELD this code (canon M1). THE PAD-NUMBER FIT IS CONFIDENTLY WRONG HERE AND THE CHANNELS DISAGREE: it returns 180 at rms 0.0375mm vs 1.0875mm next best (29x) purely because the two libraries number the terminals oppositely -- our KiCad LED_SMD:LED_0603_1608Metric puts pad 1 at x=-0.7875 (WEST) while JLC's LED-SMD_L1.6-W0.8-R-RD puts pad 1 at x=+0.7500 (EAST). The PAD CLOUD is DEGENERATE: rms 0.0375mm at BOTH 0 and 180, and 1.0875mm at 90/270, because a 2-pad chip land is its own 180 reflection (measured: each land's own pad set maps onto itself at 180). Geometry therefore admits {0,180} and only a polarity mark can choose between them. NUMBERING-FREE CHANNEL, marks read as SHAPES. OURS: the F.SilkS bracket's closed full-height edge is at x=-1.485 and the F.Fab body chamfer cuts the (-0.800,-0.400) corner, both on the -x end; and the BOARD says the same thing without reading any drawing, because LED_ST pad 1 is on GND while pad 2 is on LED_STAT_A -- our pad 1 IS the cathode (KiCad Device:LED pin 1 = K). JLC: their land carries TWO DISTINCT asymmetric marks at OPPOSITE ends -- a pin-1 DOT (F.SilkS circle r=0.050 at (+0.80,-0.40), beside their pad 1 at x=+0.75) and a CHAMFERED silk bracket at the far -x end (corners (-1.40,-0.70)->(-1.70,-0.40) and (-1.70,+0.40)->(-1.40,+0.70)). A pin-1 dot already marks pin 1, so the chamfer marks the other thing an LED land has to mark, the CATHODE; and their diode glyph corroborates it with no pad number read, the full-height cathode BAR sitting at x=+0.090 with its lead running WEST to x=-0.120. So JLC's cathode is the -x end = THEIR PAD 2, i.e. JLC numbers pad 1 = ANODE. BOTH LIBRARIES DRAW THE CATHODE WEST => the physical parts already align => offset 0. THE TWIN'S ROT-DB-SUGGEST LINE PROPOSING 'add LCSC row C2286,180' IS WRONG, and it is recorded here because a machine proposal that would brick a board is exactly what this row exists to document. That line reports the fitted jlc_offset, which on this part measures a LABELLING difference and not a geometric one; the twin's own POLARITY-FIT line in the SAME report file says the marking channel disagrees by 180 and that offset 0 is what places the part correctly, so one artifact states both answers and only the wrong one is phrased as a paste-ready row. A 180 row would seat every unit with its cathode east onto a west cathode pad: reverse-biased, dark, and indistinguishable from a bad solder joint -- the C2296/C2297 outcome, on the only status indicator this board has. Because the two channels disagreed, LED_ST goes on the JLC ORDER-PREVIEW human gate before the first order.",two-channel
C504007,0,"Kinghelm KH-SMA-KE-Z vertical THT SMA flange jack; pluto-rx2-8way-v2 J_ANT1-J_ANT8, J_RX1, J_RX2 -- 10 placements, every RF port on the board. Measured 2026-07-30 BY HAND from the raw .kicad_mod text of both lands -- own parser, own operator, no pcbnew, a DIFFERENT method from jlc_rotation_measure.py, which withheld this code (canon M1). THE PAD-NUMBER FIT IS USELESS ON THIS PART AND MUST NOT BE READ AS A MARGIN: rms 3.9350mm at 0, 4.5437mm at 90, 5.0800mm at 180, 4.5437mm at 270 -- every angle is garbage, because the two libraries number DIFFERENT PHYSICAL FEATURES. Ours numbers pad 1 = the CENTRE RF pin with pads 2-5 = the four ground posts; JLC numbers pad 5 = the centre with pads 1-4 = the posts. That is the C3020560 USB-C class, where a numbered fit pairs our signal pads against their shell posts. THE NUMBERING-FREE PAD CLOUD (pads grouped into size classes ranked by area, each of our pads matched to the nearest of the paired class, no pad number read) measures rms 0.0000mm at ALL FOUR ANGLES -- 1.0x, fully degenerate -- because the land is four posts on a 5.08mm square plus one pin on the axis, which is its own 90-degree rotation. WHAT DECIDES IT IS THAT THERE IS NOTHING TO DECIDE, and that is a measurement, made on three independent things. (1) PADS: our own land's pad set (positions and sizes, no numbers) maps onto itself at 90, 180 AND 270 degrees, and so does JLC's. (2) GRAPHICS: every graphic primitive of OUR land maps onto itself at 90, 180 and 270 as well -- the 6.5mm F.Fab body square, the F.Fab insulator circle on the origin, the four 0.9mm F.Fab post squares spanning 2.09..2.99mm in each quadrant, and the four F.SilkS corner brackets at +-3.900. Our land carries NO asymmetric feature of any kind, so there is no mark for a mark-to-mark channel to match and no orientation our own copper is able to express. JLC's land has exactly ONE asymmetric graphic, an F.SilkS pin-1 dot of r=0.030 at (-3.25,+3.25); a pin-1 dot FOLLOWS pad numbering so it is not admissible, and it has no counterpart on our side to be matched against in any case. (3) NETS: on the board, pad 1 of all ten refs carries the RF signal (ANT1-ANT7, RX1_MAIN, RX2_OUT) and sits ON the rotation axis, while pads 2-5 are all GND -- so a 90-degree turn permutes the ground posts among themselves and leaves the netlist IDENTICAL. All four candidate angles are therefore the SAME PHYSICAL PLACEMENT: the machine cannot misorient this part, and 0 is correct by measured symmetry rather than by fit. THIS ROW DOES NOT REQUIRE THE ORDER-PREVIEW HUMAN GATE -- a human at the preview would have nothing to confirm, and routing a part that has no orientation to a human gate is how a gate teaches its operators to wave rows through (the failure the C2762192 tool-gap note warns about). CONTRAST, on this same board, with C5121458, which is ALSO cloud-degenerate at all four angles and IS declared single-channel: there the degeneracy hides a real 90-degree error because its 24 pads carry 24 different nets. Here the degeneracy is the absence of the question.",two-channel
C5121458,0,"pSemi PE42482A-X SP8T RF switch in QFN-24 4.0x4.0mm, 0.50mm pitch, centred 2.7mm exposed pad; pluto-rx2-8way-v2 U_SW -- the eight-way antenna switch, i.e. the board's whole signal function. Measured 2026-07-30 BY HAND from the raw .kicad_mod text of both lands -- own parser, own operator, no pcbnew, a DIFFERENT method from jlc_rotation_measure.py, which withheld this code (canon M1). PAD-NUMBER fit over the 25 common pad numbers (our nine 0.75mm paste sub-apertures share number 25 with the exposed pad, so that number is reduced to its centroid, which is the origin on both sides): offset 0 at rms 0.0098mm, vs 2.8927mm at 90 AND at 270 and 4.0909mm at 180 -- next-best separation 295x. DECLARED single-channel: no numbering-free channel exists, and unusually for this table the degeneracy is FOURFOLD rather than the customary 0-vs-180. The PAD CLOUD (size classes ranked by area and paired by rank, paste sub-apertures dropped as pads wholly contained inside a larger pad, no pad number read) measures rms 0.0098mm at ALL FOUR ANGLES -- 1.0x, no discrimination whatever -- because six pads per side on a four-sided land with a centred square exposed pad is its own 90-degree rotation; our own land's pad set maps onto itself at 90, 180 and 270, and so does JLC's. The only asymmetric graphics on either side are PIN-1 MARKS: ours an F.Fab corner chamfer (-2.00,-1.70)->(-1.70,-2.00) plus an F.Fab circle at (-1.55,-1.55) and an F.SilkS dot at (-2.95,-2.60); JLC's an F.SilkS dot at (-2.00,-2.00), a Cmts.User circle at (-1.78,-1.27) and a filled F.SilkS corner triangle. A pin-1 mark FOLLOWS pad numbering, so it cannot corroborate a pad-NUMBER fit. A 295x margin is NOT confidence about numbering -- canon A-POL exists because C2296 returns 17.7x and is wrong, and C2286 on THIS BOARD is a live instance of exactly that. Per RULE 3 this row MUST be carried by the JLC ORDER-PREVIEW HUMAN GATE before the first order (the C13755 precedent: a 543x fit that still bought a human eye). NOTE the advisory footprint-NAME DB rule for the QFN-16/20/24/28/40 family would have said 270, which is 90 degrees off this measurement -- not the 180 handedness signature, so it is an ordinary wrong name rule of the partial-prefix kind and the MEASUREMENT wins. Ninety degrees out would rotate all 24 pins around the die: every antenna port, the four control lines and the RF common land on the wrong pin, which on an SP8T is not a degraded board but a dead one.",single-channel
C11355,270,"onsemi FSUSB42MUX MSOP-10; measured 2026-07-31 from the exact-code official EasyEDA footprint SVG and the canonical U13 land with the pcbnew-verified operator. PAD-NUMBER fit is offset 270 at rms 0.0100mm versus 3.1404mm next best over 10 pads. No function-tied numbering-free mark is present, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C19191796,270,"Samtec FTSH-105-01-L-D-K 2x5 header; measured 2026-07-31 against CONN-TH_FTSH-105-01-L-D-K.kicad_mod with the pcbnew-verified operator after normalizing formatting-only 01..09 pad labels. PAD-NUMBER fit is offset 270 at rms 0.0050mm versus 2.6929mm next best over 10 pads. The pad cloud is 180-degenerate and no function-tied numbering-free mark exists, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C1985204,0,"Kyocera CX3225SB24000H0FLJCC crystal; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.0500mm versus 1.9449mm next best. No decisive numbering-free channel exists, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C2847904,270,"ST STM32G0B1CBT6 LQFP-48; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 270 at rms 0.0875mm versus 6.4302mm next best. No function-tied numbering-free channel confirms the numbering, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C315992,0,"SMBJ26A polarized TVS in SMB; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.2100mm versus 3.1925mm next best. The two-pad cloud is 180-degenerate and no cathode-band channel was measured, so the JLC ORDER-PREVIEW HUMAN GATE must confirm cathode pad 1 before the first order.",single-channel
C3215601,0,"TI LM74810QDRRRQ1 WSON-12; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.0264mm versus 2.2558mm next best. No independent function-tied numbering-free channel was decisive, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C3662799,0,"TI TPS259470ARPWR VQFN-HR-10; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.3603mm versus 1.4203mm next best. No decisive numbering-free channel exists, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C3819953,0,"Phoenix Contact 1935161 two-position terminal block; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.0000mm EXACT versus 3.5355mm next best. No function-tied numbering-free channel exists, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C454269,270,"Infineon BSC016N06NS TDSON-8 MOSFET; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 270 at rms 1.0201mm versus 2.9986mm next best. The residual reflects split-pad land geometry and no decisive numbering-free channel exists, so the JLC ORDER-PREVIEW HUMAN GATE is mandatory; this row does not adjudicate land geometry.",single-channel
C478081,0,"Microchip USB2517I-JZX QFN-64; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.3674mm versus 7.0188mm next best. No decisive numbering-free channel exists, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C5248536,270,"Diodes AP63203QWU-7 TSOT-23-6; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 270 at rms 0.0625mm versus 1.9842mm next best. No function-tied numbering-free channel confirms the numbering, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C6053,270,"Nexperia 74LVC08APW,118 TSSOP-14; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 270 at rms 0.0625mm versus 4.4061mm next best. No function-tied numbering-free channel was decisive, so the JLC ORDER-PREVIEW HUMAN GATE is required.",single-channel
C85098,0,"Diodes B340A-13-F polarized Schottky diode in SMA; measured 2026-07-31 against the exact cached JLC .kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit is offset 0 at rms 0.1900mm versus 2.9658mm next best. The two-pad cloud is 180-degenerate and no cathode-band channel was measured, so the JLC ORDER-PREVIEW HUMAN GATE must confirm cathode pad 1.",single-channel
C86462,0,"USB_B_TE_292304-1_Horizontal; measured 2026-07-31 against USB-B_TH_BF90.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 90, rms 2.4587mm vs 4.0644mm next best over 5 pads. NUMBERING-FREE: CHANNELS DISAGREE — pad-NUMBER fit says 90, pad cloud says 0 (0.1146mm vs 2.9701mm next). A pad-number fit cannot see a library that numbers the terminals the other way round: believe the numbering-free channel, resolve against the datasheet terminal drawing, and put this code on the JLC ORDER-PREVIEW HUMAN GATE before the first order.",two-channel
C2155765,0,"TI TPS25982_RGE0024_SplitPad_ThermalVias; measured 2026-08-12 against VQFN-24_L4.0-W4.0-P0.50-BL-EP.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0000mm vs 2.9707mm next best over 26 pads. NUMBERING-FREE: both channels agree: size class -> 0 (0.0000mm vs 0.1063mm next).",two-channel
C124196,0,"Diodes BZT52C12-7-F SOD-123; measured 2026-08-12 against SOD-123_L2.7-W1.6-LS3.7-RD.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0100mm vs 2.3264mm next best over 2 pads. NUMBERING-FREE: the KiCad F.Fab diode glyph and the JLC F.SilkS cathode band both put the cathode on the pad-1 end at offset 0.",two-channel
C206199,270,"TI TPS2559DRCR DRC0010J; measured 2026-08-12 against VSON-10_L3.0-W3.0-P0.50-BL-EP.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0874mm vs 2.1688mm next best over 11 pads. No decisive numbering-free channel exists for this symmetric VSON, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C264054,0,"Panasonic EEEFK1A151P D6.3 aluminum electrolytic; measured 2026-08-12 against CAP-SMD_BD6.3-L6.6-W6.6-FD.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0300mm vs 3.7972mm next best over 2 pads. The two-pad cloud is 180-degenerate and the footprint marking is not a sufficient function-tied channel, so the JLC ORDER-PREVIEW HUMAN GATE must confirm the can's negative stripe opposite pad 1.",single-channel
C264098,270,"Diodes DMP3013SFV-7 PowerDI3333-8 Type UX; measured 2026-08-12 against POWERPAK-1212-8_L3.1-W3.1-P0.65-LS3.3-BL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.4991mm vs 2.2701mm next best over 8 numbered terminals; the residual is the documented generic-JLC-versus-exact-DS40141 land-style difference. NUMBERING-FREE body asymmetry: the unique merged drain paddle and the manufacturer DS40141 Bottom View both put the drain mass on the board's fused-input side at offset 270.",two-channel
C2919856,0,"APAQ 160AV5K101M0606C D6.3 conductive-polymer capacitor; measured 2026-08-12 against CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0300mm vs 3.7972mm next best over 2 pads. The two-pad cloud is 180-degenerate and the footprint marking is not a sufficient function-tied channel, so the JLC ORDER-PREVIEW HUMAN GATE must confirm the can's negative stripe opposite pad 1.",single-channel
C473913,270,"TI TPS25810RVCR RVC0020A WQFN-20; measured 2026-08-12 against WQFN-20_L4.0-W3.0-P0.50-BL-EP.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0976mm vs 2.5251mm next best over 21 numbered pads. No decisive numbering-free channel separates 90 from 270 on this symmetric package, so the JLC ORDER-PREVIEW HUMAN GATE is required before the first order.",single-channel
C5219289,0,"Texas_RDL0020A_B3QFN-20_5x5.5mm_ThermalVias; measured 2026-08-12 against QFN-16_L5.5-W5.0-P0.50-TL-EP_TI_PTPSM63606RDLR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0040mm vs 3.3129mm next best over 20 pads. NUMBERING-FREE: both channels agree: size class -> 0 (0.0006mm vs 0.0238mm next); pad cloud -> 0 (0.0040mm vs 0.0206mm next)",two-channel
C88744,0,"Rubycon 35TZV100M6.3X8 D6.3 aluminum electrolytic; measured 2026-08-12 against CAP-SMD_BD6.3-L6.6-W6.6-FD.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0300mm vs 3.7972mm next best over 2 pads. The two-pad cloud is 180-degenerate and the footprint marking is not a sufficient function-tied channel, so the JLC ORDER-PREVIEW HUMAN GATE must confirm the can's negative stripe opposite pad 1.",single-channel
C97502,270,"SOT-9X3; measured 2026-08-12 against SOT-9X3-3_L1.0-W0.8-P0.35-LS1.0-BR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0707mm vs 0.7390mm next best over 3 pads. NUMBERING-FREE: both channels agree: pad cloud -> 270 (0.0707mm vs 0.3383mm next)",two-channel
C7125816,0,"TI TPSM63610RDFR B3QFN-22 RDF0022A; measured 2026-08-12 against exact-code JLC QFN-22_L7.5-W6.5_TLVM13610RDFR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0758mm vs 4.3849mm at 90/270 and 6.2008mm at 180 over 22 terminals. The size-class and pad-cloud channels are 180-degenerate, and neither land has a function-tied numbering-free body mark, so the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 before the first order. The 0.31mm corner-span land difference is separately adjudicated against TI's exact EVM ODB++ design data and does not decide this rotation.",single-channel
C136277,0,"Panasonic 16SVPF180M D6.3 conductive-polymer capacitor; measured 2026-08-12 against exact-code JLC CAP-SMD_BD6.3-L6.6-W6.6-FD.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0300mm vs 3.7972mm next best over 2 pads. NUMBERING-FREE polarity channel agrees: JLC's model/footprint negative-stripe marking is opposite the board's positive pad 1 at offset 0; twin POLARITY-FIT-OK margins are 1.03/0.25mm.",two-channel
C2866134,180,"TI TPS7A2433DBVR in SOT-23-5; Pluto RX2 8-way v5 U3. Measured 2026-08-13 against exact-code JLC SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 180, rms 0.0367mm vs 1.9616mm next best over 5 pads. NUMBERING-FREE pad cloud independently selects 180 at 0.0367mm vs 0.5305mm next best. Both channels agree; board rotation 90 therefore yields CPL 270.",two-channel
C225477,270,"CJT A2541WV-2P vertical 1x2 2.54mm THT header; Pluto RX2 8-way v5 J12. Measured 2026-08-14 against exact-code JLC CONN-TH_2P-P2.54_A2541WV-2P.kicad_mod and the project PinHeader_1x02_P2.54mm_Vertical land with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0000mm. The two identical square posts and rectangular plastic body are physically 180-degree symmetric and have no function-tied numbering-free orientation channel, so the JLC order preview must confirm the CPL placement and the board's +5V/GND silk before first power; board rotation 270 therefore yields CPL 180.",single-channel
C2932107,0,"Samtec FTSH-105-01-L-DV-K-P-TR keyed 2x5 SMT header; Pluto RX2 8-way v5 J11. Measured 2026-08-13 against exact-code JLC CONN-SMD_10P-P1.27-FTSH-105-01-L-DV-K-P-TR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.5075mm vs 4.1273mm next best over 10 pads; the residual is the documented JLC 5.08mm row spacing versus Samtec's exact 4.065mm manufacturer land. The pad cloud is 180-degenerate and no function-tied numbering-free mark is encoded in both lands, so the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 and the keyed cable side before the first order.",single-channel
C429844,0,"Amphenol 901-143-6RFX right-angle THT SMA; Pluto RX2 8-way v5 J2-J10. Measured 2026-08-13 from the exact JLC ANT-TH_901-143-6RFX and manufacturer-derived Amphenol_901_143_6RFX raw footprints. PAD-NUMBER fit admits offset 0 exactly but is not credited alone because JLC collapses all four shell posts to pad 2 while the board numbers them 2-5. NUMBERING-FREE body geometry decides it: both footprints extend the asymmetric right-angle mating body from the RF-pin origin in +Y to the 11.60mm mating-face datum, both courtyards extend to +11.7mm, and the exact-code JLC 3D model at its native transform presents the thread in that same direction. Offset 0 therefore preserves every board-authored outward mating direction. The real uploader must still echo C429844 as wave/manual THT assembly and the preview must show all nine threads outward before payment.",two-channel
C5184243,0,"GCT USB4105-GF-A-120 power-only USB-C receptacle; Pluto RX2 8-way v5 J1. Measured 2026-08-13 against exact-code JLC USB-C-SMD_MC-311D.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 0, rms 0.0000mm vs 1.6202mm next best over 8 common numbered pads. NUMBERING-FREE size-class channel selects 0 at 0.0000mm vs 2.9557mm next; pad cloud also selects 0 at 0.3709mm vs 2.7127mm next. Both channels agree.",two-channel
C5452432,270,"ST STM32C011F4P6 in TSSOP-20; Pluto RX2 8-way v5 U2. Measured 2026-08-13 against exact-code JLC TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit: offset 270, rms 0.0090mm vs 4.8392mm next best over 20 pads. The dual-row pad cloud is 180-degenerate and the pin-1 marks follow library numbering rather than providing a function-tied independent channel, so the JLC ORDER-PREVIEW HUMAN GATE must confirm U2 pin 1 before the first order; board rotation -90 therefore yields CPL 180.",single-channel
C83270,0,"ST SMBJ6.0A unidirectional TVS in SMB; Pluto RX2 8-way v5 D1. Measured 2026-08-13 from the exact JLC SMB_L4.6-W3.6-LS5.3-RD and KiCad D_SMB raw footprints. PAD-NUMBER fit selects offset 0 at rms 0.2100mm vs 3.1925mm next best. NUMBERING-FREE cathode shapes agree without reading pad numbers: KiCad's F.Fab diode glyph cathode bar and full-height F.SilkS band are on the -X end, while JLC's full-height F.SilkS cathode band at x=-1.02 and filled cathode-end polygons at x=-2.67..-3.12 are also on -X. Both physical cathode marks align at offset 0.",two-channel
C129313,270,"TI TS3USB221ERSER in RSE UQFN-10; Pi USB port switch U3/U9/U15/U21. Measured 2026-08-15 against exact-code JLC UQFN-10_L2.0-W1.5-P0.50-BL-EP.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 270 at rms 0.0022mm vs 1.2036mm next best over 10 pads. The rectangular pad cloud is 90/270-degenerate and its pin-1 mark follows library numbering, so no function-tied numbering-free channel exists; the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 before the first order.",single-channel
C2675181,270,"TI TUSB522PIRGER in RGE VQFN-24; Pi USB port switch U2/U8/U14/U20. Measured 2026-08-15 against exact-code JLC HVQFN-24_L4.0-W4.0-P0.50-BL-EP2.1.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 270 at rms 0.0367mm vs 2.9895mm next best over 25 numbered lands. The square peripheral land and exposed pad are fourfold symmetric and the pin-1 mark follows library numbering, so no function-tied numbering-free channel exists; the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 before the first order.",single-channel
C397981,0,"Diodes DMP3007SPS-13 in PowerDI5060-8; Pi USB port switch Q1. Measured 2026-08-15 against exact-code JLC POWERDI5060-8_L6.1-W5.1-P1.27-BL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 0 at rms 0.9364mm vs 4.1569mm next best over 8 numbered terminals; the residual reflects the board's manufacturer-exact split source/drain land. NUMBERING-FREE channels independently select 0: size-class spread 0.0000mm vs 4.1814mm next, and pad-cloud rms 0.0000mm vs 3.0277mm next.",two-channel
C5364405,270,"Wurth 61304021121 2x20 vertical THT Raspberry Pi GPIO header; Pi USB port switch J2. Measured 2026-08-15 against exact-code JLC HDR-TH_40P-P2.54-V-M-R2-C20-S2.54.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 270 at rms 0.0000mm vs 20.7908mm next best over 40 pads. The rectangular pad cloud is 90/270-degenerate and no function-tied keyed feature is encoded in both lands, so the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 and ribbon-cable orientation before the first order.",single-channel
C7527500,270,"TI TLV76133DCYR in DCY SOT-223; Pi USB port switch U1. Measured 2026-08-15 against exact-code JLC SOT-223-4_L6.5-W3.5-P2.30-LS7.0-TR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit proposes offset 270 at rms 2.9698mm vs 3.9841mm next best over the three unique electrical terminals; its residual is inflated because KiCad represents the output lead and tab as two pad-2 shapes while JLC merges them for matching. NUMBERING-FREE pad-cloud geometry independently selects 270 at rms 0.2771mm vs 2.1203mm next.",two-channel
C7832,180,"TI SN74LVC1G08DCKR in DCK SC70-5; Pi USB port switch U7/U13/U19/U25. Measured 2026-08-15 against exact-code JLC SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 180 at rms 0.2572mm vs 1.5846mm next best over 5 pads. The pad cloud and body are 180-degenerate and the pin-1 mark follows library numbering, so no function-tied numbering-free channel exists; the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 before the first order.",single-channel
C85049,180,"Diodes 2N7002-7-F in SOT-23; Pi USB port switch Q2-Q5. Measured 2026-08-15 against exact-code JLC SOT-23_L2.9-W1.3-P1.90-LS2.4-BR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 180 at rms 0.2003mm vs 1.7777mm next best over 3 pads. NUMBERING-FREE pad-cloud geometry independently selects 180 at rms 0.2003mm vs 0.7183mm next.",two-channel
C962978,270,"TI TPD6E05U06RVZR in RVZ USON-14; Pi USB port switch U5/U6/U11/U12/U17/U18/U23/U24. Measured 2026-08-15 against exact-code JLC USON-14_L3.5-W1.4-P0.5-BL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 270 at rms 0.0650mm vs 1.6816mm next best over 14 pads. The narrow rectangular pad cloud is 90/270-degenerate and its pin-1 mark follows library numbering, so no function-tied numbering-free channel exists; the JLC ORDER-PREVIEW HUMAN GATE must confirm pin 1 before the first order.",single-channel
C5334230,0,"Wurth 692221030100 USB 3 Type-B THT receptacle; Pi USB port switch J3/J5/J7/J9. Measured 2026-08-15 against exact-code JLC USB-B-TH_XUNPU_USB-306BWD-ARW.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 0 at rms 0.0030mm vs 5.2423mm next best over the ten common electrical pad identities. NUMBERING-FREE pad-cloud geometry independently selects 0 at rms 0.0039mm vs 2.9893mm next; it includes the second shell post that JLC numbers 11 while the board correctly merges both shell posts as electrical pad 10.",two-channel
C2864845,0,"TI TPS259474LRPWR in RPW VQFN-HR-10; USB controlled debug hub U_AGG. Measured 2026-08-16 against exact-code JLC VQFN-10_L2.0-W2.0-P0.45-TL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 0 at rms 0.0000mm vs 1.4281mm next best over 10 pads. NUMBERING-FREE size-class spread and pad-cloud channels both select 0: respectively 0.0000mm vs 0.0141mm next and 0.0000mm vs 0.0120mm next. The manufacturer pin-1 chamfer and JLC/board pin-1 marks also coincide at offset 0.",two-channel
C3708426,180,"Nexperia PESD2USB3UX in SOT-23; USB controlled debug hub U_ESD_UP/U_ESD1-U_ESD4. Measured 2026-08-16 against exact-code JLC SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 180 at rms 1.5589mm vs 1.7493mm next best over 3 pads; the large residual reflects the vendor-specific USB shunt land versus JLC's generic SOT-23 land. NUMBERING-FREE pad-cloud geometry independently selects 180 at rms 0.1532mm vs 0.6923mm next. All five devices use the same exact land and orientation rule.",two-channel
C640876,270,"Microchip MCP2221A-I/SL in SOIC-14; USB controlled debug hub U_CTRL. Measured 2026-08-16 against exact-code JLC SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL.kicad_mod with the pcbnew-verified operator. PAD-NUMBER fit selects offset 270 at rms 0.1450mm vs 5.0885mm next best over 14 pads. The dual-row pad cloud is 90/270-degenerate and the pin-1 marks follow library numbering rather than providing a function-tied independent channel, so the JLC ORDER-PREVIEW HUMAN GATE must confirm U_CTRL pin 1 before the first order. Microchip DS20005565D's top-view pin map remains the terminal authority.",single-channel
